lead_key,name,city,google_maps_url,phone,slug,status,url,reason,updated_at
cesarica|kotor,Cesarica,Kotor,https://www.google.com/maps/search/?api=1&query=Restoran%20Cesarica%20Kotor,+38269049733,cesarica,IN_PROGRESS,https://sindikatevents.me/preporuke/cesarica/,v3_map_embedded_image_qa_static_pass_browser_qa_blocked_by_environment,2026-08-11T15:01:00+02:00
konoba-dragicevic|budva,Konoba Dragičević,Budva,https://www.google.com/maps/search/?api=1&query=Konoba%20Dragi%C4%8Devi%C4%87%20Budva,+38267224401,konoba-dragicevic,IN_PROGRESS,https://sindikatevents.me/preporuke/konoba-dragicevic/,premium_v4_retrofit_complete_locally_photo_provenance_and_live_network_qa_pending,2026-08-13T10:15:00+02:00
bakina-kuhinja|tivat,Konoba Bakina Kuhinja,Tivat,https://www.google.com/maps/search/?api=1&query=Konoba%20Bakina%20Kuhinja%20Tivat,+38269970180,bakina-kuhinja,IN_PROGRESS,https://sindikatevents.me/preporuke/bakina-kuhinja/,production_commit_3223647_ancestor_of_netlify_deploy_a87082d_static_image_qa_pass_browser_and_direct_live_verification_blocked_by_environment,2026-08-11T15:54:51+02:00
konoba-vila-marija-prcanj|prcanj,Konoba Vila Marija Prcanj,Prčanj,https://www.google.com/maps/search/?api=1&query=Konoba%20Vila%20Marija%20Prcanj,+38269322830,konoba-vila-marija,IN_PROGRESS,https://sindikatevents.me/preporuke/konoba-vila-marija/,production_commit_af954540_deployed_chromium_render_qa_pass_image_qa_pass_direct_live_and_map_network_verification_blocked_by_environment,2026-08-11T15:34:16+02:00
konoba-votra|mali-ostros,Konoba VOTRA,Mali Ostros,https://www.google.com/maps/search/?api=1&query=Konoba%20VOTRA%20Mali%20Ostros,+38267579539,konoba-votra,IN_PROGRESS,https://sindikatevents.me/preporuke/konoba-votra/,production_commit_175c48e_deployed_static_image_qa_pass_browser_and_direct_live_verification_blocked_by_environment,2026-08-11T15:58:00+02:00
restaurant-porto-turo|njegusi,Restaurant Porto Turo,Njeguši,https://www.google.com/maps/search/?api=1&query=Restaurant%20Kafana%20Porto%20Turo%20Njegusi,+38268867162,restaurant-porto-turo,IN_PROGRESS,https://sindikatevents.me/preporuke/restaurant-porto-turo/,production_commit_7b12258e_deployed_static_image_qa_pass_browser_and_direct_live_verification_blocked_by_environment,2026-08-11T16:14:00+02:00
konoba-demizana|budva,Konoba Demižana,Budva,https://www.google.com/maps/search/?api=1&query=Konoba%20Demi%C5%BEana%20Budva,+38233455028,konoba-demizana,IN_PROGRESS,,premium_v4_retrofit_local_complete_photo_provenance_and_live_network_qa_pending,2026-08-13T10:15:00+02:00
konoba-feral|budva,Konoba Feral,Budva,https://www.google.com/maps/search/?api=1&query=Konoba%20Feral%20Trg%20Palmi%2012%20Budva,+38267537897,konoba-feral-budva,IN_PROGRESS,,premium_v4_retrofit_local_complete_photo_provenance_and_live_network_qa_pending,2026-08-13T10:15:00+02:00
konoba-stari-grad|budva,Konoba Stari Grad,Budva,https://www.google.com/maps/search/?api=1&query=Konoba%20Stari%20Grad%20Njego%C5%A1eva%2012%20Budva,+38233454443,konoba-stari-grad-budva,IN_PROGRESS,,premium_v4_hold_site_gate_legacy_domain_unresolved,2026-08-13T10:15:00+02:00
konoba-galeb|budva,Konoba Galeb,Budva,https://www.google.com/maps/search/?api=1&query=Konoba%20Galeb%20Vr%C5%BEdak%2011%20Budva,+38267102323,konoba-galeb-budva,IN_PROGRESS,,premium_v4_retrofit_local_complete_photo_provenance_and_live_network_qa_pending,2026-08-13T10:15:00+02:00
stari-ribar|budva,Stari Ribar,Budva,https://www.google.com/maps/search/?api=1&query=Stari%20Ribar%2029%20Novembra%2021%20Budva,+38269260067,stari-ribar-budva,IN_PROGRESS,,premium_v4_retrofit_local_complete_photo_provenance_and_live_network_qa_pending,2026-08-13T10:15:00+02:00
caffe-fiorino|budva,Caffe Fiorino,Budva,https://www.google.com/maps/search/?api=1&query=Caffe%20Fiorino%20Budva,,caffe-fiorino,SKIPPED_HAS_SITE,,https://www.fiorinocaffe.com/,2026-08-13T10:15:00+02:00
